A00147,174
A00360,203
A00367,83
A01054,225
A01072,6265
A01077,16
A01148,273
A01157,31
A01181,182
A01237,59
A01258,198
A01285,104
A01349,141
A01356,287
A01365,245
A01399,289
A01411,230
A01422,240
A01457,189
A01467,220
A01531,65
A01615,120
A01676,220
A01680,380
A01681,180
A01694,125
A01729,124
A01736,112
A01759,300
A01796,72
A01806,314
A01815,32
A01824,17
A01834,89
A01860,156
A01889,240
A01906,271
A01909,114
A01929,133
A01939,48
A01950,72
A01958,134
A01990,361
A01996,82
A02005,231
A02008,61
A02049,63
A02074,45
A02077,132
A02079,14
A02088,22
A02099,72
A02133,324
A02232,19
A02244,156
A02270,138
A02306,140
A02312,24
A02350,209
A02376,246
A02436,23
A06045,120
A06264,212
A06342,57
A08064,208
A08086,212
A08095,307
A08141,289
A08225,252
A08230,23
A08240,56
A08307,165
A10002,118
A10008,151
A10037,37
A10133,67
A10157,87
A10165,290
A10203,219
A10300,332
A10307,330
A10309,328
A10388,160
A10397,434
A10398,57
A10410,318
A10413,200
A10447,190
A10459,270
A10465,224
A10480,79
A10487,580
A10506,10
A10508,27
A10510,333
A10514,310
A10574,127
A10582,212
A10628,74
A10654,195
A10656,62
A10695,306
A10763,84
A10859,260
A10883,84
A10913,164
A10935,114
A10936,210
A10938,48
A10939,227
A10940,47
A10951,141
A10970,106
A11005,127
A11030,217
A11128,95
A15031,62
A15096,307
A15110,80
A15155,90
A15167,45
A15172,33
A15182,87
A15205,132
A15210,207
A15211,315
A15212,144
A15243,43
A15306,525
A15324,281
A15336,419
A15347,415
A15380,190
A15385,117
A15421,106
A15423,57
A15491,20
A15497,37
A15561,50
A15580,59
A15590,210
A15602,68
A15612,159
A15639,222
A15644,52
A15655,98
A15657,31
A15702,72
A15776,24
A15810,327
A15828,314
A15829,307
A15834,317
A15856,142
A20093,118
A20097,98
A25050,230
A25088,344
A25100,79
A25160,160
A25186,221
A25193,11
A26050,64
A50005,7
A50013,166
A50089,16
A50119,185
A50173,213
A50191,395
A50207,89
A50229,188
A50273,189
A50321,345
A50324,462
A50330,103
A50367,270
A50446,64
A50517,30
A50585,188
A50669,86
A50676,136
A50692,223
A50716,109
A50773,60
A50779,52
A50844,300
A50947,32
A50955,60
A50993,314
A51054,63
A51082,468
A51149,44
A51174,209
A51196,45
A51233,243
A51236,63
A51240,127
A51322,242
A51344,168
A51368,78
A51372,67
A51378,108
A56009,151
A56059,85
A56081,105
A56131,61
A56136,63
A57708,52
A57711,94
A57980,50
A60034,284
A60077,235
A60096,281
A60121,153
A60138,200
A60145,232
A60152,59
A60158,203
A60166,150
A60185,232
A60203,316
A60218,21
A60224,53
A60264,100
A60269,171
A60334,242
A60338,170
A60349,181
A60369,78
A60441,80
A60451,76
A60478,16
A60491,336
A60514,68
A60700,70
A60767,210
A60810,94
A60835,192
A60862,575
A60879,96
A60881,360
A60925,86
A60952,144
A60972,66
A61010,119
A61038,116
A61070,85
A61104,82
A61136,236
A61175,93
A61187,59
A61191,0
A61248,389
A61254,340
A61270,122
A61441,32
A61492,91
A61541,369
A61543,54
A61589,11
A61629,104
A61667,48
A61683,114
A61697,144
A61719,32
A61721,284
A61897,46
A62093,28
A62143,80
A62145,56
A62152,185
A62183,33
A62222,289
